inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
BCURKFDHURYYGR-UHFFFAOYSA-N,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)Cc2ccccc2C(=O)O3)nn1,6.638272163982407,1,0.0,2010,2010,2010,IC50,B,1
ILAGHTMWCATYQN-UHFFFAOYSA-N,O=C(c1cc(-c2ccco2)on1)N1CC(Cc2ccccc2)C1,6.638272163982407,1,0.0,2021,2021,2021,IC50,B,1
FFLACNAXGFCCBT-UHFFFAOYSA-N,CS(=O)(=O)c1ccc2nc(-c3ccc(-c4cccs4)cc3)[nH]c2c1,6.636388020107855,1,0.0,2010,2010,2010,IC50,B,1
LVGQXLOFHAVOAQ-UHFFFAOYSA-N,COc1ccc(C(=O)Nc2ncc(Cc3cc(Cl)ccc3Cl)s2)cc1OCCO,6.635316347403609,2,0.37868911275182693,2009,2009,2009,IC50,B,1
CTONVBDPRFRMPC-UHFFFAOYSA-N,O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2ccns2)on1,6.634512015109101,1,0.0,2021,2021,2021,IC50,B,1
HLLQDKNSAVHCAE-UHFFFAOYSA-N,Cc1nc(-c2n[nH]c(Cc3ccccc3)n2)sc1C(=O)NCc1ccccc1,6.627087997029893,1,0.0,2014,2014,2014,IC50,B,1
PEXPKNONLMRNCB-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2cnc(N3CCC4(C=Cc5ccccc54)CC3)s2)n1,6.61261017366127,1,0.0,2015,2015,2015,IC50,B,1
AUSRQKFDMUEKHR-UHFFFAOYSA-N,CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2cnc(NCc3ccc(Cl)c(Cl)c3)nc21,6.6020599913279625,1,0.0,2009,2009,2009,IC50,B,1
NKEFSVLJXCEEQY-UHFFFAOYSA-N,O=C(Nc1ccc2ncn(Cc3ccc(Cl)cc3)c(=O)c2c1)OCc1ccccc1,6.6020599913279625,1,0.0,2009,2009,2009,IC50,B,1
RCNVLPYVUMMOKT-UHFFFAOYSA-N,O=C(NCCc1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)cn1,6.6020599913279625,1,0.0,2010,2010,2010,IC50,B,1
BTFSQDGQHMPZAH-UHFFFAOYSA-N,CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccc4Cl)cc3)[nH]c2c1,6.5934598195660445,1,0.0,2010,2010,2010,IC50,B,1
YHSOKGLZUGZMOD-UHFFFAOYSA-N,FC(F)(F)c1ccccc1OC1CCN(c2ncc3nc[nH]c3n2)CC1,6.590066876668706,1,0.0,2011,2011,2011,IC50,B,1
WNWRTHGYPQYCMH-UHFFFAOYSA-N,Cc1cn(-c2ccc(N3CCC(c4noc5cc(F)ccc45)CC3)nn2)cn1,6.590066876668706,1,0.0,2015,2015,2015,IC50,B,1
VAPVQZVTHURTBU-UHFFFAOYSA-N,CC(C)CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,6.585026652029182,1,0.0,2007,2007,2007,IC50,B,1
CORXDZZRQNBTBN-UHFFFAOYSA-N,O=C(Nc1ncc(CCCO)s1)c1ccc(CNc2ccccc2C(F)(F)F)cc1,6.585026652029182,1,0.0,2018,2018,2018,IC50,B,1
UWUNYOLFEWOXPK-UHFFFAOYSA-N,O=C(Nc1nc2ccccc2s1)c1cccnc1,6.585026652029182,1,0.0,2020,2020,2020,IC50,B,1
PURFCVBFLYONHX-UHFFFAOYSA-N,O=C(Nc1cnn(Cc2ccccc2)c1)c1cc(-c2cncs2)on1,6.585026652029182,1,0.0,2021,2021,2021,IC50,B,1
SJIXOWCHTLSXTO-UHFFFAOYSA-N,COc1ccc(-c2cc(C(=O)N3CC(c4ccccc4)C3)no2)nc1,6.578396073130168,1,0.0,2021,2021,2021,IC50,B,1
UVBXNVJUKVHGQV-UHFFFAOYSA-N,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccccn3)nn2)CC1,6.576831443935097,2,0.23744087233877417,2010,2010,2010,IC50,B,1
SLKPAKPHVBWASJ-UHFFFAOYSA-N,O=c1[nH]ccc2nc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)sc12,6.571865205971211,1,0.0,2011,2011,2011,IC50,B,1
BKCQAKQXZWKPRF-UHFFFAOYSA-N,Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1cccnc1,6.571865205971211,1,0.0,2015,2015,2015,IC50,B,1
KKLDFKDCGQCPEZ-UHFFFAOYSA-N,O=C(Nc1nc2ccccc2[nH]1)c1ccc(C(=O)c2ccccc2)cc1,6.560739102249396,2,1.1540146821720612,2020,2020,2020,IC50,A;B,1
ALJLGQQGERMMMV-UHFFFAOYSA-N,Fc1ccc2c(c1)N(C1CCN(c3ccc(-c4cnn(CCN5CCOCC5)c4)nn3)CC1)CC2,6.560667306169737,1,0.0,2015,2015,2015,IC50,B,1
XCYAUDKMHBMJSP-UHFFFAOYSA-N,NC(=O)c1cnc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,6.5590225143301994,2,0.05111500838559583,2009,2010,2009,IC50,B,2
WGKNCBOCXQLHDO-UHFFFAOYSA-N,CN1CCC2(CCN(c3ccc(C(=O)NCC(O)c4ccccc4)nn3)CC2)Oc2ccccc21,6.552841968657781,1,0.0,2011,2011,2011,IC50,B,1
UACQNMPQQNWDHW-UHFFFAOYSA-N,Cc1cc(CNC(=O)c2sc(-n3cnn(Cc4ccc(F)cc4)c3=O)nc2C)[nH]n1,6.552841968657781,1,0.0,2015,2015,2015,IC50,B,1
CMYITAKNBSCUGW-UHFFFAOYSA-N,O=C(c1cc(-c2ccco2)on1)N1CC(Oc2ccccc2)C1,6.552841968657781,1,0.0,2021,2021,2021,IC50,B,1
RHYQIXNCTOPIIA-UHFFFAOYSA-N,Cc1ccc2ccn(C3CCN(c4ccc(-c5cnn(C)c5)nn4)CC3)c2c1,6.543633966870956,1,0.0,2015,2015,2015,IC50,B,1
RCVPUPWQGZXUEJ-UHFFFAOYSA-N,O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3ccoc3C(F)(F)F)CC2)nn1,6.537602002101044,1,0.0,2013,2013,2013,IC50,B,1
ZBFFRSOBUFXEKD-UHFFFAOYSA-N,OC(c1ccc2[nH]c(-c3ccc(OCc4ccccc4)cc3)nc2c1)c1ccccc1C(F)(F)F,6.530177984021837,1,0.0,2013,2013,2013,IC50,B,1
PQRKPYLNZGDCFH-UHFFFAOYSA-N,CCCCCCCCC1=C(CCCCCCCC(=O)O)C1,6.522878745280337,1,0.0,2015,2015,2015,IC50,B,1
JCKWAMLBAVAUAV-UHFFFAOYSA-N,Cc1cnnc(N2CCC(Oc3cc(C(F)(F)F)ccc3Cl)CC2)n1,6.522878745280337,1,0.0,2015,2015,2015,IC50,B,1
VYFAQGQHDGPTQI-UHFFFAOYSA-N,Cc1nc(-n2cnn(CC3CC3(F)F)c2=O)sc1C(=O)NCc1cccnc1,6.514278573518419,1,0.0,2015,2015,2015,IC50,B,1
SSQGUNLQSXARJD-UHFFFAOYSA-N,Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)nc2)n1,6.508638306165727,1,0.0,2018,2018,2018,IC50,B,1
JGJAWQWWGRTAPM-UHFFFAOYSA-N,O=C(NCc1nccs1)c1ccc2[nH]c(-c3ccc(Oc4ccccc4C(F)(F)F)cc3)nc2c1,6.504455662453552,1,0.0,2013,2013,2013,IC50,B,1
YRYCVYQUTHYAMW-UHFFFAOYSA-N,Cc1nnc(-c2ccc(N3CCC(c4noc5ccc(F)cc45)CC3)nn2)o1,6.501689446210399,1,0.0,2015,2015,2015,IC50,B,1
KTXDDPZEJKRBQG-UHFFFAOYSA-N,COc1ccc2ccn(C3CCN(c4ccc(-c5cnn(C)c5)nn4)CC3)c2c1,6.498940737782249,1,0.0,2015,2015,2015,IC50,B,1
DWEAHHDJPAAPFY-UHFFFAOYSA-N,Cc1ccc2c(c1)N(C1CCN(c3ccc(-c4cnn(C)c4)nn3)CC1)CC2,6.496335253231729,2,0.17203583310186094,2014,2015,2014,IC50,B,2
ADDGEJWTQLPRHJ-UHFFFAOYSA-N,Oc1nc2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)nc2[nH]1,6.496209316942819,1,0.0,2011,2011,2011,IC50,B,1
UOWHAXONWVKJBJ-UHFFFAOYSA-N,O=C(c1cc(-c2ccncn2)on1)N1CC(c2ccccc2)C1,6.493494967595128,1,0.0,2021,2021,2021,IC50,B,1
NJJGBNUYIOHKAB-UHFFFAOYSA-N,O=C(NCc1nccs1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,6.488116639021126,1,0.0,2013,2013,2013,IC50,B,1
ADEUYAXXUHPWMD-UHFFFAOYSA-N,Cc1nc(-n2ccc(OCC3CCCO3)cc2=O)sc1C(=O)NCc1ccccc1,6.482804102050025,1,0.0,2014,2014,2014,IC50,B,1
AAYLWJHTUQKURI-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CC3)Cc3ccccc3C(=O)O4)s2)n1,6.471083299722345,1,0.0,2015,2015,2015,IC50,B,1
BYTIXRGZCSORTK-UHFFFAOYSA-N,N#Cc1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,6.468521082957745,1,0.0,2007,2007,2007,IC50,B,1
HANVIVWUPUOVJA-UHFFFAOYSA-N,COC1(c2cc(C(=O)Nc3cnn(Cc4cccc(F)c4)c3)no2)CCC1,6.468521082957745,1,0.0,2021,2021,2021,IC50,B,1
RZPKBRSPYLDGMK-UHFFFAOYSA-N,CS(=O)(=O)c1ccc2nc(-c3ccc(-c4cccc(O)c4)cc3)[nH]c2c1,6.465973893943865,1,0.0,2010,2010,2010,IC50,B,1
SIYKZRZVXFQNFN-UHFFFAOYSA-N,O=C(O)c1ccc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cc1,6.45717457304082,1,0.0,2015,2015,2015,IC50,B,1
VXVXMSUTJUHXQD-UHFFFAOYSA-N,O=C(NCc1ccncc1)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,6.455931955649724,1,0.0,2007,2007,2007,IC50,B,1
YPFPMMAEALELIY-UHFFFAOYSA-N,O=C(Nc1cnn(Cc2ccccc2F)c1)c1cc(-c2ccco2)on1,6.443697499232712,1,0.0,2021,2021,2021,IC50,B,1
YBINHOUXNKFPGW-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CCc5c(O)cccc5O4)CC3)s2)n1,6.436518914605589,1,0.0,2015,2015,2015,IC50,B,1
WIASLCVAGCLOBE-UHFFFAOYSA-N,O=c1[nH]c(N2CCC(Oc3ccccc3C(F)(F)F)CC2)nc2[nH]cnc12,6.422508200162775,1,0.0,2011,2011,2011,IC50,B,1
WYEULJJLHMNLKA-UHFFFAOYSA-N,CNC(=O)c1ccc(-c2cc(C(=O)N3CCC(c4ccccc4)CC3)no2)cc1,6.42021640338319,1,0.0,2021,2021,2021,IC50,B,1
LTYKVUFYQBRYHV-UHFFFAOYSA-N,NC(=O)Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,6.412289034981089,1,0.0,2015,2015,2015,IC50,B,1
