inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
OFXGPUCSXYQAEH-NRFANRHFSA-N,CN(C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(N2CCCC[C@H]2CO)cc1-c1ccccc1Cl,7.954677021213342,1,0.0,2010,2010,2010,Ki,B,1
ZQYIOYYNSJMENO-MGQAZMLPSA-N,C[C@@H](O[C@H]1CN2C(=O)C=C(c3cnn(Cc4ccccc4)c3)CC2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.950851231752651,2,1.0895032939745999,2010,2010,2010,IC50,B,1
MDFSJQWVOCQTLX-UHFFFAOYSA-N,NC(COCc1cc(Cl)cc(Cl)c1)C(c1ccccc1)c1ccccc1,7.94692155651658,1,0.0,1994,1994,1994,IC50,B,1
FUTUUAUFFGJELS-BYUVYSIJSA-N,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)NC1CCCCCC1)Cc1ccc(Cl)cc1,7.920818753952375,1,0.0,2001,2001,2001,IC50,B,1
XNVWNVRFENUWFF-QZQBIAJISA-N,CO/N=C(\CN(C)C(=O)c1ccc(N(C)C)c2ccccc12)C(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,7.920818753952375,1,0.0,2002,2002,2002,Ki,B,1
NTIPCTPRHXCHTR-UHFFFAOYSA-N,COc1ccc(C(CN(C)C(=O)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)N2CCC(N3CCCCC3)CC2)c(OC)c1OC,7.920818753952375,1,0.0,2000,2000,2000,IC50,B,1
OIPUCUYEXWXJEQ-UHFFFAOYSA-N,COc1ccccc1C(C1CCCCN1C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC(N2CCCCC2)CC1,7.920818753952375,1,0.0,2000,2000,2000,IC50,B,1
CBPSLOOFWLIHIO-UHFFFAOYSA-N,CN(CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C(Cc1c[nH]c2ccccc12)N1CCN(C2CCCCC2)CC1,7.920818753952375,1,0.0,2000,2000,2000,IC50,B,1
FXCOGDWCXOXCRA-UHFFFAOYSA-N,CN(CC(c1cccc2c1OCO2)N1CCC(N2CCCCC2)CC1)C(=O)Cc1ccccc1Cl,7.920818753952375,1,0.0,2000,2000,2000,IC50,B,1
WQZUOBIIPDZRJP-WUFINQPMSA-N,Cc1cc(C)cc(C(=O)N2CC[C@H](NCc3ccnc4ccccc34)C[C@H]2Cc2ccccc2)c1,7.920818753952375,5,0.29219078541010707,1996,1997,1996,IC50,B,4
SSGVUCUCQKFTFZ-RRPNLBNLSA-N,COc1cc(CC(=O)N[C@H]2CCN(C(=O)c3cc(C)cc(C)c3)[C@H](Cc3ccccc3)C2)cc(OC)c1,7.920818753952375,1,0.0,1996,1996,1996,IC50,B,1
PEIMIJSROKINQZ-UHFFFAOYSA-N,CS(=O)(=O)N1CC2(CCN(C(=O)C(COCc3ccccc3)NCc3ccc(Cl)c(Cl)c3)CC2)c2ccccc21,7.920818753952375,1,0.0,1998,1998,1998,IC50,B,1
XQCZPAUCNTZZCI-UHFFFAOYSA-N,Cc1cc(C)cc(C(=O)N2CCC(NCc3cccc4ccccc34)CC2Cc2ccccc2)c1,7.920818753952375,1,0.0,2004,2004,2004,IC50,B,1
XPWWPOWERDNVHK-YADHBBJMSA-N,CC(=O)NCC(=O)N1CC[C@@H](C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](c2ccccc2)C1,7.920818753952375,1,0.0,2012,2012,2012,IC50,B,1
MYMSTILLVFBSHU-UHFFFAOYSA-N,CC(C)c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCN(C)CC2)n1,7.920818753952375,1,0.0,2013,2013,2013,IC50,B,1
XBRNPBHKYYHMKE-UHFFFAOYSA-N,CN1CCC(COCc2cc(C(F)(F)F)cc(Cl)n2)(c2ccccc2)CC1,7.920818753952375,1,0.0,2013,2013,2013,IC50,B,1
QBVKHKPSAMYONA-JNSHEXFGSA-N,COc1ccccc1CN[C@H]1C2CC[N+](C)(CC2)[C@H]1C(c1ccccc1)c1ccccc1,7.913640169325252,1,0.0,1994,1994,1994,IC50,B,1
CWXSJSDJJDAMBU-UHFFFAOYSA-N,Fc1cc(COCC(c2ccccc2)N2CCNCC2)cc(C(F)(F)F)c1,7.899974269892137,2,0.0,2002,2003,2002,IC50;Ki,B,2
PYALTOQQRPEMLM-IBGZPJMESA-N,Brc1cc(Br)cc(COC[C@@H](c2ccccc2)N2CCNCC2)c1,7.899974269892137,1,0.0,2002,2002,2002,IC50,B,1
