inchikey,year,standard_type,pAct
HRAQDVZJYIAWOV-UHFFFAOYSA-N,2009,IC50,8.214670
HRSBVCJITWRGQF-UHFFFAOYSA-N,2014,IC50,6.339135
HRSJBLDLFPWRTI-UHFFFAOYSA-N,2011,IC50,6.259637
HSHWZKWKCGIOIO-UHFFFAOYSA-N,2014,IC50,7.267606
HSHWZKWKCGIOIO-UHFFFAOYSA-N,2015,IC50,6.109579
HSHWZKWKCGIOIO-UHFFFAOYSA-N,2015,IC50,7.045757
HSHWZKWKCGIOIO-UHFFFAOYSA-N,2015,IC50,7.508638
HSJCJAUHHNFFMJ-UHFFFAOYSA-N,2015,IC50,6.259637
HSLMFPUWULEOJG-UHFFFAOYSA-N,2021,IC50,4.958607
HSUPQAOIIAJFBL-UHFFFAOYSA-N,2018,IC50,8.036212
HSVQVZRHBHJQAH-UHFFFAOYSA-N,2021,IC50,5.274088
HUYPGJIKHOQUMM-UHFFFAOYSA-N,2009,IC50,8.187087
HWGZLYILQHNFNE-UHFFFAOYSA-N,2021,IC50,4.436163
HXSWXRXBLJSSDO-UHFFFAOYSA-N,2014,IC50,7.275724
HYWPCURCNVJWBD-UHFFFAOYSA-N,2009,IC50,10.397940
HZBKWRLKOSIYKI-UHFFFAOYSA-N,2010,IC50,5.372020
HZEFCPMPXSPQIF-UHFFFAOYSA-N,2020,IC50,6.154902
HZJOQDIJBARWDQ-UHFFFAOYSA-N,2009,IC50,5.853252
ICWVDOKYVQZMSY-UHFFFAOYSA-N,2018,IC50,8.387216
IDPZZOYWDBJFMQ-UHFFFAOYSA-N,2010,IC50,6.534617
IDPZZOYWDBJFMQ-UHFFFAOYSA-N,2010,IC50,6.966576
IDYGCGYCHOUWQB-UHFFFAOYSA-N,2009,IC50,6.958607
IDYGCGYCHOUWQB-UHFFFAOYSA-N,2009,IC50,6.958607
IDYLWVPCBZDRCM-UHFFFAOYSA-N,2021,IC50,4.824488
IEQKUTWVYAHKLS-UHFFFAOYSA-N,2021,IC50,5.397940
IEQOHAXMMMRHNL-UHFFFAOYSA-N,2018,IC50,6.244125
IIBGJRZFQSFBFQ-UHFFFAOYSA-N,2014,IC50,6.280669
IJDYQKWQIBEHBO-UHFFFAOYSA-N,2013,IC50,7.638272
IJGWCBRJPINXQV-UHFFFAOYSA-N,2014,IC50,6.661544
IKHWXCNTLZSWJF-UHFFFAOYSA-N,2017,IC50,6.958607
ILAGHTMWCATYQN-UHFFFAOYSA-N,2021,IC50,6.638272
ILTYXJRTRCXGMV-UHFFFAOYSA-N,2014,IC50,7.958607
ILZYZWRBEDSLMR-UHFFFAOYSA-N,2021,IC50,5.591760
IPTFUXGYSQXHTE-UHFFFAOYSA-N,2021,IC50,4.593801
IPTWJKSNCXVPQK-UHFFFAOYSA-N,2014,IC50,8.045757
IQGJUDFNHPTCGC-UHFFFAOYSA-N,2015,IC50,7.337242
IQHQDZNRKGZLGK-UHFFFAOYSA-N,2015,IC50,9.000000
IQQQMAUGJKASHW-UHFFFAOYSA-N,2014,IC50,7.004365
IQRZOMPLJJMCHC-UHFFFAOYSA-N,2015,IC50,8.045757
IQUTVVVWNVSYSB-UHFFFAOYSA-N,2015,IC50,6.698970
ITRSXXVLXWPSCR-UHFFFAOYSA-N,2009,IC50,6.886057
IUUAFBWSTYBDOA-UHFFFAOYSA-N,2018,IC50,8.292430
IWDXBYQCZXUCBW-UHFFFAOYSA-N,2007,IC50,6.408935
IXAHGCSQQMXJED-UHFFFAOYSA-N,2009,IC50,8.698970
IXAHGCSQQMXJED-UHFFFAOYSA-N,2009,IC50,7.769551
IXCKPZGMHUZWAH-UHFFFAOYSA-N,2009,IC50,7.443697
IXQGZVLKXDUJBZ-UHFFFAOYSA-N,2021,IC50,4.522879
IYPOBXAUBPUBLO-UHFFFAOYSA-N,2021,IC50,7.698970
IZHLUPKVNPPMFR-UHFFFAOYSA-N,2015,IC50,6.899629
IZZUKFBZHJDGAH-UHFFFAOYSA-N,2007,IC50,7.000000
