inchikey,year,standard_type,pAct
BIAFEJMLZNVRCH-JFXHSDHMSA-N,2000,Ki,7.853872
BIAVGWDGIJKWRM-FQEVSTJZSA-N,2015,Ki,4.900000
BINXDUAGTLDZSD-IOWSJCHKSA-N,1996,IC50,7.537602
BJBXILVBLCBQQY-FTJBHMTQSA-N,2007,IC50,8.552842
BJBXILVBLCBQQY-FTJBHMTQSA-N,2007,IC50,10.154902
BJBXILVBLCBQQY-IZZNHLLZSA-N,2007,IC50,7.698970
BJBXILVBLCBQQY-IZZNHLLZSA-N,2007,IC50,9.769551
BJJSAUJBYIASCJ-QTQRRKOQSA-N,2014,Ki,7.199971
BJLLFVBHTSMSOU-AOYPEHQESA-N,1998,IC50,6.086186
BKFSYSKVGGJRTB-RUZDIDTESA-N,1994,IC50,5.259637
BKFSYSKVGGJRTB-VWLOTQADSA-N,1995,IC50,7.657577
BKFSYSKVGGJRTB-VWLOTQADSA-N,1994,IC50,7.657577
BKFSYSKVGGJRTB-VWLOTQADSA-N,1998,IC50,7.659953
BKZACLJXDQEZGG-JOCHJYFZSA-N,2013,IC50,7.958607
BKZACLJXDQEZGG-QFIPXVFZSA-N,2013,IC50,7.494850
BLCJVLIDZWMARY-UHFFFAOYSA-N,1998,IC50,8.744727
BLDKHFYYGWJOMF-UHFFFAOYSA-N,2004,IC50,7.795880
BLDKHFYYGWJOMF-UHFFFAOYSA-N,2011,IC50,7.376751
BLKHBPBPTMODSH-RAWAAWEYSA-N,2009,IC50,8.379968
BLKHBPBPTMODSH-RAWAAWEYSA-N,2009,Ki,8.744727
BLMXPQBNRUSVOP-UHFFFAOYSA-N,2002,Ki,7.410050
BLRGEKISNDSGSY-XIDPYBFFSA-N,2006,Ki,8.700057
BLRGEKISNDSGSY-XIDPYBFFSA-N,2006,Kd,9.500038
BLYHUYRAYMAUST-BVYCBKJFSA-N,1994,Ki,8.698970
BLYHUYRAYMAUST-BVYCBKJFSA-N,1998,IC50,8.700057
BMQGHJWOPAPENX-SAYLLPIZSA-N,2010,IC50,9.795880
BMQGHJWOPAPENX-SAYLLPIZSA-N,2010,IC50,7.958607
BMSXMNNYSLYMQG-UHFFFAOYSA-N,2002,IC50,7.468521
BMUADKHVDAKFSN-UHFFFAOYSA-N,1995,IC50,9.677781
BMUADKHVDAKFSN-UHFFFAOYSA-N,2004,IC50,9.677781
BMVJOAJQNZSLIN-KYJUHHDHSA-N,1998,Ki,6.764472
BNDYWUDBYSQRPQ-UHFFFAOYSA-N,2013,IC50,7.795880
BNPYZZVTLFIGQT-HQGJUUJZSA-N,1994,Ki,5.096910
BNZXSKJMIPTBKX-FRIZENJKSA-N,2006,IC50,9.397940
BPOJDIXXCVFYFB-UHFFFAOYSA-N,1996,IC50,8.812479
BPOQFKGJPSWXDH-UHFFFAOYSA-N,1996,IC50,6.943095
BQCKRPSACBCWTC-KYJUHHDHSA-N,1998,Ki,7.318759
BQDJZPXUORQZMS-UHFFFAOYSA-N,2004,IC50,8.045757
BQLJONXRHVAQGB-KCWXNJEJSA-N,1995,IC50,7.720105
BQMHXKMRKCHCGN-UHFFFAOYSA-N,1995,IC50,6.657577
BQQPFEHFEMWIFM-RUZDIDTESA-N,2001,IC50,8.193820
